epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,2628.31,0.63819,0.33057,0.90853,0.91948,0.823,0.9064,0.49795,1.55112,0.74038,1.9323,0.0003269,0.0003269,0.0003269
171,2645.49,0.66056,0.3385,0.92655,0.89259,0.82432,0.89191,0.46678,1.62282,0.76903,1.98399,0.000317,0.000317,0.000317
172,2662.43,0.624,0.32398,0.90767,0.93057,0.84519,0.90967,0.50696,1.54102,0.69877,1.87599,0.0003071,0.0003071,0.0003071
173,2680.91,0.62305,0.32134,0.91308,0.90387,0.85135,0.90443,0.49361,1.5363,0.69887,1.82165,0.0002972,0.0002972,0.0002972
174,2695.95,0.61607,0.31763,0.90518,0.92441,0.85586,0.9144,0.51261,1.46747,0.67418,1.77645,0.0002873,0.0002873,0.0002873
175,2712.74,0.60855,0.31411,0.90085,0.91381,0.81189,0.90434,0.48286,1.54554,0.71211,1.86239,0.0002774,0.0002774,0.0002774
176,2727.79,0.629,0.33104,0.91388,0.91665,0.81081,0.88983,0.46074,1.56992,0.74486,1.89481,0.0002675,0.0002675,0.0002675
177,2744.42,0.61481,0.31709,0.90251,0.92035,0.81532,0.88666,0.46161,1.61996,0.8071,1.97073,0.0002576,0.0002576,0.0002576
178,2761.76,0.6392,0.32378,0.90385,0.90886,0.84234,0.88616,0.44779,1.6775,0.8474,2.07912,0.0002477,0.0002477,0.0002477
179,2778.7,0.62793,0.32408,0.89829,0.91034,0.82883,0.86859,0.44509,1.66721,0.89808,2.03694,0.0002378,0.0002378,0.0002378
180,2798.5,0.5966,0.31193,0.89408,0.92304,0.82432,0.88779,0.46762,1.64549,0.8627,2.02456,0.0002279,0.0002279,0.0002279
